Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],Households and NPISHs final consumption expenditure (% of GDP) [NE.CON.PRVT.ZS],General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS]
2014,YR2014,Afghanistan,AFG,20497128555.6972,..,..,..,..,..
2014,YR2014,Albania,ALB,13296322588.1684,78.3050945904138,12.2746384670784,28.3047822758213,28.0683434875498,46.9528588208631
2014,YR2014,Algeria,DZA,238942664192.59,35.7928072769144,18.9932826125176,46.8984793363791,27.6194863705878,29.3040555963989
2014,YR2014,American Samoa,ASM,643000000,72.0062208398134,..,..,66.7185069984448,108.087091757387
2014,YR2014,Andorra,AND,3271685596.66321,..,..,..,..,..
2014,YR2014,Angola,AGO,135966802586.713,44.466746007483,17.9756586545567,27.5004591988793,44.6950294609853,34.6378933219044
2014,YR2014,Antigua and Barbuda,ATG,1378707407.40741,..,..,..,74.5107467810698,67.035414276926
2014,YR2014,Argentina,ARG,526319673731.638,65.3830797250888,16.9498757371062,17.2628810064651,14.4054785893756,14.0013150558519
2014,YR2014,Armenia,ARM,11609513246.7958,85.5471855421903,12.0858534859076,21.2830406859193,28.5603816555446,47.2184853070945
2014,YR2014,Aruba,ABW,2790849720.67039,58.3958630969003,24.8237406320455,23.1114610175592,78.2754936773626,84.6065584238676
2014,YR2014,Australia,AUS,1468265356427.76,54.8038463534486,18.7777654809849,26.7273294554667,21.0876033946651,21.3964196324343
2014,YR2014,Austria,AUT,438556021078.034,53.8869810416074,19.9847608163281,23.848669034824,53.8561570961341,50.6405828931259
2014,YR2014,Azerbaijan,AZE,75239785452.1022,45.4376157562345,10.8858730371216,27.5100357372221,43.2735566584935,26.2096685368412
2014,YR2014,"Bahamas, The",BHS,11139100000,64.4926430322019,11.1355495506818,31.3993051503263,37.3629826467129,43.1740445816987
2014,YR2014,Bahrain,BHR,34772526595.7447,41.6956388061362,15.4830749544723,26.9460777171498,92.2255357196123,76.3503224222473
2014,YR2014,Bangladesh,BGD,172886611653.786,72.5725369181701,5.33752075651661,28.5778757115563,18.9896599950107,25.5244202017989
2014,YR2014,Barbados,BRB,5365976700,..,..,..,..,..
2014,YR2014,Belarus,BLR,78813069120.9984,52.8271849571236,13.7542695534472,34.8410329356421,54.941004057247,55.7104203103354
2014,YR2014,Belgium,BEL,537987419164.351,51.5609878844316,24.1169029008666,23.2582959776352,79.3965205800202,79.1750903735027
2014,YR2014,Belize,BLZ,2138250000,62.8083713316965,16.2516076230562,17.0934175143225,55.4893019992985,51.6310066643283
2014,YR2014,Benin,BEN,13284527846.9081,72.9688067811163,10.1801970840633,19.2575856279899,31.4308411236325,33.8374338168225
2014,YR2014,Bermuda,BMU,6413988000,48.9972073536776,12.8349164357651,12.0945969964397,51.1612432078139,25.3555042510214
